66.249.79.142 bot - "2018-05-11 03:05:38" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
34.207.121.133 - - "2018-05-11 03:55:21" http://proust.ui.ac.id/index.php/journal/index 200 "MauiBot (crawler.feedback+wc@gmail.com)"
66.249.79.144 bot - "2018-05-11 04:18:45" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.144 bot - "2018-05-11 04:43:19" http://proust.ui.ac.id/index.php/journal/issue/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
34.207.121.133 - - "2018-05-11 05:05:15" http://proust.ui.ac.id/index.php/journal/index 200 "MauiBot (crawler.feedback+wc@gmail.com)"
66.102.6.103 - - "2018-05-11 05:08:29" http://proust.ui.ac.id/index.php/journal/article/view/8 200 "Mozilla/5.0 (Linux; Android 4.2.1; en-us; Nexus 5 Build/JOP40D) AppleWebKit/535.19 (KHTML, like Gecko; googleweblight) Chrome/38.0.1025.166 Mobile Safari/535.19"
64.233.173.41 - - "2018-05-11 05:08:30" http://proust.ui.ac.id/index.php/journal/article/view/8 200 "Mozilla/5.0 (Linux; Android 6.0; Redmi Note 4X Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.126 Mobile Safari/537.36"
114.124.198.197 - - "2018-05-11 05:08:38" http://proust.ui.ac.id/index.php/journal/article/view/8 200 "Mozilla/5.0 (Linux; Android 6.0; Redmi Note 4X Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.126 Mobile Safari/537.36"
66.102.6.105 - - "2018-05-11 05:08:53" http://proust.ui.ac.id/index.php/journal/article/download/8/4 200 "Mozilla/5.0 (compatible; Google AppsViewer; http://drive.google.com)"
66.249.79.144 bot - "2018-05-11 06:01:37" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
197.206.151.31 - - "2018-05-11 07:41:33" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
197.206.151.31 - - "2018-05-11 07:41:35" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
213.184.117.172 - - "2018-05-11 08:02:32" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows; U; Win 9x 4.90; de-DE; rv:0.9.4.1) Gecko/20020314 Netscape6/6.2.2"
180.244.233.150 - - "2018-05-11 08:23:38" http://proust.ui.ac.id/index.php/journal/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
